title,detail_url,area,community,total_price_wan,unit_price,house_info,follow_info
房子三开间朝南全明户型年轻人安家之选,https://hz.ke.com/ershoufang/103145727730.html,,金昌春和钱塘,288 万,"33,697 元/平",3室1厅 / 85.47m² / 南,
南湖明月 精装大四房 视野无遮挡 绿城物业 诚心出售,https://hz.ke.com/ershoufang/103145699720.html,,众安绿城南湖明月,248 万,"18,763 元/平",4室2厅 / 132.18m² / 南,
此房满五、南北双露台、星空两房,https://hz.ke.com/ershoufang/103145655605.html,,良渚文化村白鹭郡南,119 万,"20,163 元/平",2室1厅 / 59.02m² / 南,
大浒东苑，三房精装修，边3号线地铁,https://hz.ke.com/ershoufang/103145652900.html,,大浒东苑,210 万,"24,111 元/平",3室1厅 / 87.1m² / 南,
丁桥法式精装西边套两房，全新装修品牌家电,https://hz.ke.com/ershoufang/103145643841.html,,华天苑,135 万,"21,375 元/平",2室1厅 / 63.16m² / 西 西 南,
绿城桃李春风 1室1厅 南,https://hz.ke.com/ershoufang/103145736916.html,,绿城桃李春风,92 万,"18,172 元/平",1室1厅 / 50.63m² / 南,
小区离地铁口近 优质房源带装修,https://hz.ke.com/ershoufang/103145720749.html,,旭辉中粮朗香府,118 万,"12,165 元/平",3室2厅 / 97m² / 南,
拎包入住 高楼层 采光视野好 离地铁口近 人车分流,https://hz.ke.com/ershoufang/103145707449.html,,合景瑜翠园,230 万,"26,208 元/平",3室2厅 / 87.76m² / 南,
次新小区交通便利，距离苕溪公园仅300米,https://hz.ke.com/ershoufang/103145700793.html,,佳源优优锦城,108 万,"8,808 元/平",4室2厅 / 122.62m² / 南,
壹号院精装边套，诚心出售，价格可谈,https://hz.ke.com/ershoufang/103145697153.html,,华鸿中南壹号院,235 万,"21,364 元/平",3室1厅 / 110m² / 东南,
视野开阔，采光通风好，毛坯可以自由装修,https://hz.ke.com/ershoufang/103145691444.html,,中天珺府,190 万,"15,455 元/平",4室2厅 / 122.94m² / 南,
小区位置好，旁边配套齐全，楼层好，西边套，户型好,https://hz.ke.com/ershoufang/103145690618.html,,美凯国际寓所,128 万,"10,562 元/平",3室2厅 / 121.2m² / 南 西 北,
大三房 ，全明户型 顶配楼层 值得置换,https://hz.ke.com/ershoufang/103145689502.html,,亲亲家园一期,255 万,"20,005 元/平",3室1厅 / 127.47m² / 南,
房子在东方茂隔壁， 满5唯一自住 精装修,https://hz.ke.com/ershoufang/103145684303.html,,中兴.金盛苑,145 万,"9,146 元/平",3室2厅 / 158.54m² / 东,
清泰南苑，小区中间位置，楼层好，户型好，南北通风,https://hz.ke.com/ershoufang/103145683357.html,,清泰南苑,215 万,"30,623 元/平",2室2厅 / 70.21m² / 南,
西边套，视野牛，诚心卖，溪珺庭，好房子，好物业,https://hz.ke.com/ershoufang/103145680655.html,,中天溪珺庭,128 万,"13,338 元/平",3室2厅 / 95.97m² / 南,
满五税少，双阳台，三房户型，近地铁和万达广场,https://hz.ke.com/ershoufang/103145679468.html,,海珀雅苑,168 万,"19,461 元/平",3室2厅 / 86.33m² / 南,
湖山云台苑东边套湖景精装大平层,https://hz.ke.com/ershoufang/103145677885.html,,湖山云台苑,320 万,"19,252 元/平",3室2厅 / 166.22m² / 南,
筑境花园 宝龙广场边 生活方便 楼层高视野好,https://hz.ke.com/ershoufang/103145677379.html,,筑境花园,75 万,"6,029 元/平",3室2厅 / 124.4m² / 南 北,
双文澜 尚堂府次新小区 满五年 不沿高架 边套小区中间,https://hz.ke.com/ershoufang/103145675161.html,,杭钢尚堂府,356 万,"32,688 元/平",3室2厅 / 108.91m² / 南,
